Team A,Team B,Team A Wins,Index A,Index B
JHOP,Disc Envy,True,17,19
JHOP,Oddjob,True,17,33
JHOP,Booooooosh!,True,17,22
JHOP,Rogues' Gallery,False,17,24
JHOP,Nerd Alert,True,17,26
JHOP,TuneSquad Squared,True,17,31
JHOP,Lady and the BAMF,True,17,28
Rubs The Duckie,Moose Lightning,True,18,27
Rubs The Duckie,Nerd Alert,False,18,26
Rubs The Duckie,Hipster Kitties,True,18,30
Rubs The Duckie,TuneSquad Squared,True,18,31
Rubs The Duckie,Store Bought Dirt,True,18,20
Rubs The Duckie,Dominion,True,18,23
Rubs The Duckie,Rogues' Gallery,True,18,24
Rubs The Duckie,Disc Envy,True,18,19
Disc Envy,Store Bought Dirt,True,19,20
Disc Envy,Fetch,True,19,21
Disc Envy,A Lil Bit Sticky,True,19,25
Disc Envy,Baboon Heart,True,19,37
Disc Envy,Booooooosh!,True,19,22
Disc Envy,Moose Lightning,True,19,27
Disc Envy,Rogues' Gallery,False,19,24
Disc Envy,Lady and the BAMF,True,19,28
Disc Envy,Top Shelf,True,19,38
Disc Envy,Nerd Alert,False,19,26
Disc Envy,TuneSquad Squared,True,19,31
Store Bought Dirt,M.O.B.,True,20,65
Store Bought Dirt,Underwater Monkey Cowboys,True,20,36
Store Bought Dirt,Nerd Alert,True,20,26
Store Bought Dirt,Dominion,False,20,23
Store Bought Dirt,Fetch,True,20,21
Store Bought Dirt,Top Shelf,True,20,38
Store Bought Dirt,Tubbs,True,20,29
Store Bought Dirt,Hipster Kitties,True,20,30
Store Bought Dirt,123 Trap!,True,20,39
Store Bought Dirt,TuneSquad Squared,True,20,31
Store Bought Dirt,Stack to the Future,False,20,35
Store Bought Dirt,A Lil Bit Sticky,False,20,25
Store Bought Dirt,Flying Salsa,True,20,56
Fetch,Baboon Heart,True,21,37
Fetch,Booooooosh!,False,21,22
Fetch,Lady and the BAMF,True,21,28
Fetch,TuneSquad Squared,True,21,31
Fetch,Lady and the BAMF,True,21,28
Fetch,Tubbs,True,21,29
Fetch,Booooooosh!,False,21,22
Fetch,Moose Lightning,True,21,27
Booooooosh!,Lady and the BAMF,True,22,28
Booooooosh!,Tofu Wolf,True,22,59
Dominion,Lady and the BAMF,True,23,28
Dominion,TuneSquad Squared,True,23,31
Dominion,Rogues' Gallery,True,23,24
Dominion,Nerd Alert,True,23,26
Dominion,Tubbs,True,23,29
