Team A,Team B,divname,Team A Wins,Index A,Index B,Div A,Div B
Turtle Boy,Stonecutters,4/3 Div 1,True,7,41,4/3 Div 1,5/2 Div 1
Turtle Boy,AHOC,4/3 Div 1,False,7,0,4/3 Div 1,4/3 Div 1
Turtle Boy,FlowChart,4/3 Div 1,False,7,2,4/3 Div 1,4/3 Div 1
Turtle Boy,GrassBurner,4/3 Div 1,False,7,3,4/3 Div 1,4/3 Div 1
Turtle Boy,TuneSquad,4/3 Div 1,False,7,6,4/3 Div 1,4/3 Div 1
"Live Poultry, Fresh Killed (LPFK)",Swingers,4/3 Div 1,True,8,5,4/3 Div 1,4/3 Div 1
"Live Poultry, Fresh Killed (LPFK)",BBN,4/3 Div 1,False,8,9,4/3 Div 1,4/3 Div 1
"Live Poultry, Fresh Killed (LPFK)",Turtle Boy,4/3 Div 1,False,8,7,4/3 Div 1,4/3 Div 1
"Live Poultry, Fresh Killed (LPFK)",Rogues' Gallery,4/3 Div 1,True,8,24,4/3 Div 1,4/3 Div 2
"Live Poultry, Fresh Killed (LPFK)",Upstream,4/3 Div 1,True,8,10,4/3 Div 1,4/3 Div 2
"Live Poultry, Fresh Killed (LPFK)",Rubs The Duckie,4/3 Div 1,False,8,18,4/3 Div 1,4/3 Div 2
"Live Poultry, Fresh Killed (LPFK)",Lady and the BAMF,4/3 Div 1,True,8,28,4/3 Div 1,4/3 Div 2
"Live Poultry, Fresh Killed (LPFK)",Hucky McThrowandcatch,4/3 Div 1,True,8,50,4/3 Div 1,5/2 Div 2
"Live Poultry, Fresh Killed (LPFK)",TuneSquad,4/3 Div 1,False,8,6,4/3 Div 1,4/3 Div 1
"Live Poultry, Fresh Killed (LPFK)",GrassBurner,4/3 Div 1,False,8,3,4/3 Div 1,4/3 Div 1
"Live Poultry, Fresh Killed (LPFK)",Gothrilla,4/3 Div 1,False,8,1,4/3 Div 1,4/3 Div 1
"Live Poultry, Fresh Killed (LPFK)",Injustice League,4/3 Div 1,False,8,11,4/3 Div 1,4/3 Div 2
"Live Poultry, Fresh Killed (LPFK)",Tubbs,4/3 Div 1,True,8,29,4/3 Div 1,4/3 Div 2
"Live Poultry, Fresh Killed (LPFK)",Gothrilla,4/3 Div 1,False,8,1,4/3 Div 1,4/3 Div 1
"Live Poultry, Fresh Killed (LPFK)",AHOC,4/3 Div 1,False,8,0,4/3 Div 1,4/3 Div 1
"Live Poultry, Fresh Killed (LPFK)",License to Kilt (fka Scoobers in Scotland),4/3 Div 1,False,8,15,4/3 Div 1,4/3 Div 2
"Live Poultry, Fresh Killed (LPFK)",FlowChart,4/3 Div 1,False,8,2,4/3 Div 1,4/3 Div 1
"Live Poultry, Fresh Killed (LPFK)",Puddingstone,4/3 Div 1,False,8,12,4/3 Div 1,4/3 Div 2
"Live Poultry, Fresh Killed (LPFK)",Zerg Rush!,4/3 Div 1,False,8,4,4/3 Div 1,4/3 Div 1
BBN,GrassBurner,4/3 Div 1,False,9,3,4/3 Div 1,4/3 Div 1
BBN,"Live Poultry, Fresh Killed (LPFK)",4/3 Div 1,True,9,8,4/3 Div 1,4/3 Div 1
BBN,AHOC,4/3 Div 1,False,9,0,4/3 Div 1,4/3 Div 1
BBN,Shake and Bake,4/3 Div 1,False,9,42,4/3 Div 1,5/2 Div 1
BBN,GrassBurner,4/3 Div 1,False,9,3,4/3 Div 1,4/3 Div 1
BBN,Swingers,4/3 Div 1,False,9,5,4/3 Div 1,4/3 Div 1
BBN,TuneSquad,4/3 Div 1,True,9,6,4/3 Div 1,4/3 Div 1
BBN,Injustice League,4/3 Div 1,False,9,11,4/3 Div 1,4/3 Div 2
BBN,Stonecutters,4/3 Div 1,False,9,41,4/3 Div 1,5/2 Div 1
BBN,Gothrilla,4/3 Div 1,False,9,1,4/3 Div 1,4/3 Div 1
BBN,FlowChart,4/3 Div 1,False,9,2,4/3 Div 1,4/3 Div 1
Upstream,Store Bought Dirt,4/3 Div 2,True,10,20,4/3 Div 2,4/3 Div 2
Upstream,Too Drunk to Fail,4/3 Div 2,True,10,32,4/3 Div 2,4/3 Div 3
Upstream,Jack's Abby HAOS Lager,4/3 Div 2,False,10,14,4/3 Div 2,4/3 Div 2
Upstream,Lady and the BAMF,4/3 Div 2,True,10,28,4/3 Div 2,4/3 Div 2
Upstream,Moose Lightning,4/3 Div 2,True,10,27,4/3 Div 2,4/3 Div 2
Upstream,JHOP,4/3 Div 2,True,10,17,4/3 Div 2,4/3 Div 2
Upstream,"Live Poultry, Fresh Killed (LPFK)",4/3 Div 2,False,10,8,4/3 Div 2,4/3 Div 1
