Team A,Team B,Team A Wins,Index A,Index B,Div A,Div B
Injustice League,Rogues' Gallery,True,11,24,4/3 Div 2,4/3 Div 2
Injustice League,Puddingstone,True,11,12,4/3 Div 2,4/3 Div 2
Puddingstone,Nerd Alert,True,12,26,4/3 Div 2,4/3 Div 2
Puddingstone,Dominion,True,12,23,4/3 Div 2,4/3 Div 2
Puddingstone,License to Kilt (fka Scoobers in Scotland),True,12,15,4/3 Div 2,4/3 Div 2
Puddingstone,Moose Lightning,True,12,27,4/3 Div 2,4/3 Div 2
Puddingstone,Rubs The Duckie,True,12,18,4/3 Div 2,4/3 Div 2
Puddingstone,Toads,True,12,16,4/3 Div 2,4/3 Div 2
Puddingstone,Hipster Kitties,True,12,30,4/3 Div 2,4/3 Div 2
Puddingstone,Fetch,True,12,21,4/3 Div 2,4/3 Div 2
Puddingstone,The Funky Bunch,True,12,52,4/3 Div 2,5/2 Div 2
Puddingstone,JHOP,True,12,17,4/3 Div 2,4/3 Div 2
Puddingstone,Rogues' Gallery,True,12,24,4/3 Div 2,4/3 Div 2
Puddingstone,Store Bought Dirt,True,12,20,4/3 Div 2,4/3 Div 2
Puddingstone,Maverick,False,12,46,4/3 Div 2,5/2 Div 2
Puddingstone,Jack's Abby HAOS Lager,False,12,14,4/3 Div 2,4/3 Div 2
Puddingstone,A Lil Bit Sticky,True,12,25,4/3 Div 2,4/3 Div 2
Puddingstone,TuneSquad Squared,True,12,31,4/3 Div 2,4/3 Div 2
Flaming Croissants,Demons,False,13,57,4/3 Div 2,5/2 Div 3
Flaming Croissants,Dominion,True,13,23,4/3 Div 2,4/3 Div 2
Flaming Croissants,Spam,True,13,60,4/3 Div 2,5/2 Div 3
Flaming Croissants,Top Shelf,True,13,38,4/3 Div 2,4/3 Div 3
Flaming Croissants,Fetch,True,13,21,4/3 Div 2,4/3 Div 2
Flaming Croissants,Store Bought Dirt,False,13,20,4/3 Div 2,4/3 Div 2
Flaming Croissants,Moose Lightning,True,13,27,4/3 Div 2,4/3 Div 2
Flaming Croissants,A Lil Bit Sticky,True,13,25,4/3 Div 2,4/3 Div 2
Flaming Croissants,JHOP,False,13,17,4/3 Div 2,4/3 Div 2
Flaming Croissants,Nerd Alert,True,13,26,4/3 Div 2,4/3 Div 2
Flaming Croissants,Rubs The Duckie,True,13,18,4/3 Div 2,4/3 Div 2
Flaming Croissants,Underwater Monkey Cowboys,True,13,36,4/3 Div 2,4/3 Div 3
Flaming Croissants,Disc Envy,True,13,19,4/3 Div 2,4/3 Div 2
Flaming Croissants,Oddjob,True,13,33,4/3 Div 2,4/3 Div 3
Flaming Croissants,Jack's Abby HAOS Lager,False,13,14,4/3 Div 2,4/3 Div 2
Flaming Croissants,Booooooosh!,True,13,22,4/3 Div 2,4/3 Div 2
Flaming Croissants,Stack to the Future,True,13,35,4/3 Div 2,4/3 Div 3
Flaming Croissants,Baboon Heart,False,13,37,4/3 Div 2,4/3 Div 3
Flaming Croissants,Rogues' Gallery,True,13,24,4/3 Div 2,4/3 Div 2
Flaming Croissants,Hipster Kitties,True,13,30,4/3 Div 2,4/3 Div 2
Jack's Abby HAOS Lager,TuneSquad Squared,True,14,31,4/3 Div 2,4/3 Div 2
Jack's Abby HAOS Lager,Lady and the BAMF,True,14,28,4/3 Div 2,4/3 Div 2
Jack's Abby HAOS Lager,Toads,False,14,16,4/3 Div 2,4/3 Div 2
Jack's Abby HAOS Lager,Store Bought Dirt,True,14,20,4/3 Div 2,4/3 Div 2
Jack's Abby HAOS Lager,License to Kilt (fka Scoobers in Scotland),True,14,15,4/3 Div 2,4/3 Div 2
Jack's Abby HAOS Lager,A Lil Bit Sticky,True,14,25,4/3 Div 2,4/3 Div 2
Jack's Abby HAOS Lager,Disc Envy,True,14,19,4/3 Div 2,4/3 Div 2
License to Kilt (fka Scoobers in Scotland),Pink Flamingos,False,15,44,4/3 Div 2,5/2 Div 2
License to Kilt (fka Scoobers in Scotland),Fetch,True,15,21,4/3 Div 2,4/3 Div 2
License to Kilt (fka Scoobers in Scotland),Nerd Alert,True,15,26,4/3 Div 2,4/3 Div 2
License to Kilt (fka Scoobers in Scotland),Tubbs,True,15,29,4/3 Div 2,4/3 Div 2
License to Kilt (fka Scoobers in Scotland),Store Bought Dirt,True,15,20,4/3 Div 2,4/3 Div 2
